source_type,source_path,feature,scenario,tags,description,steps_summary,status
Cucumber,src/test/resources/Feature/01_COD_Flow.feature,COD Flow Sample Lifecycle,Process COD order sample through full lab workflow,,Process COD order sample through full lab workflow.,Given I am on the login page | When I enter valid credentials | Then I should be logged in successfully | When I click on the Department button | And I click on the Laboratory button,Implemented
Cucumber,src/test/resources/Feature/TC_01_Login.feature,Place lab orders and pay online,Place a home sample visit for a single  non member and complete online payment  in most popular packages,,Place a home sample visit for a single non member and complete online payment in most popular packages.,Given load the excel data for single non member and home collection | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_01_Login.feature,Place lab orders and pay online,Place a home sample visit for a single member and complete online payment  in most popular packages,@singleLabOrderWithoutMembership @completeLoginFlow,Place a home sample visit for a single member and complete online payment in most popular packages.,Given load the excel data for single member and home collection | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_01_Login.feature,Place lab orders and pay online,Place a lab visit for a single member and complete online payment  in most popular packages,@singleHomeOrderMembership @completeLoginFlow,Place a lab visit for a single member and complete online payment in most popular packages.,Given load the excel data for single member and lab visit | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_01_Login.feature,Place lab orders and pay online,Place a lab visit for a single non member and complete online payment  in most popular packages,@singleHomeOrderWithoutMembership @completeLoginFlow,Place a lab visit for a single non member and complete online payment in most popular packages.,Given load the excel data for single non member and lab visit | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_02_EndToFlowWithValidation.feature,Place lab orders and pay online,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Member),,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Member).,Given load the excel data for multi member and lab visit with memership | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_03_AddMember.feature,Place lab orders and pay online,Place a home visit for a family member with a new user and complete online payment in most popular packages(New User),@add_member_multi_home_order_without_membership,Place a home visit for a family member with a new user and complete online payment in most popular packages(New User).,Given load the excel data for multi member and home collection for new user | When create an account with random mobile number | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_03_AddMember.feature,Place lab orders and pay online,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(Member),@add_member_multi_lab_order_without_membership,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(Member).,Given load the excel data for multi member and home collection with memership | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_03_AddMember.feature,Place lab orders and pay online,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(without Member),,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(without Member).,Given load the excel data for multi member and home collection without memership | When the user enters otp | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
Cucumber,src/test/resources/Feature/TC_03_AddMember.feature,Place lab orders and pay online,Place a lab visit for a family member with a new user and complete online payment in most popular packages(New User),@add_member_multi_home_order_new_user,Place a lab visit for a family member with a new user and complete online payment in most popular packages(New User).,Given load the excel data for multi member and lab visit for new user | When create an account with random mobile number | And click on the submit button | Then the location should be auto-detected on the dashboard | And find whether the account holder is member or non member,Implemented
