source_type,source_path,feature,scenario,tags,status,notes
Cucumber,src/test/resources/Feature/01_COD_Flow.feature,COD Flow Sample Lifecycle,Process COD order sample through full lab workflow,@ITDose,Implemented,
Cucumber,src/test/resources/Feature/TC_01_Login.feature,Place lab orders and pay online,Place a home sample visit for a single  non member and complete online payment  in most popular packages,@singleHomeOrderWithoutMembership @completeLoginFlow,Implemented,
Cucumber,src/test/resources/Feature/TC_01_Login.feature,Place lab orders and pay online,Place a home sample visit for a single member and complete online payment  in most popular packages,@singleHomeOrderMembership @completeLoginFlow,Implemented,
Cucumber,src/test/resources/Feature/TC_01_Login.feature,Place lab orders and pay online,Place a lab visit for a single member and complete online payment  in most popular packages,@singleLabOrderMembershipp @completeLoginFlow,Implemented,
Cucumber,src/test/resources/Feature/TC_01_Login.feature,Place lab orders and pay online,Place a lab visit for a single non member and complete online payment  in most popular packages,@singleLabOrderWithoutMembership @completeLoginFlow,Implemented,
Cucumber,src/test/resources/Feature/TC_02_EndToFlowWithValidation.feature,Place lab orders and pay online,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Member),@endtoend_multi_lab_order_membership,Implemented,
Cucumber,src/test/resources/Feature/TC_03_AddMember.feature,Place lab orders and pay online,Place a home visit for a family member with a new user and complete online payment in most popular packages(New User),@add_member_multi_home_order_new_user,Implemented,
Cucumber,src/test/resources/Feature/TC_03_AddMember.feature,Place lab orders and pay online,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(Member),@add_member_multi_home_order_membership,Implemented,
Cucumber,src/test/resources/Feature/TC_03_AddMember.feature,Place lab orders and pay online,Place a home visit for a family member with the profile owner and complete online payment in most popular packages(without Member),@add_member_multi_home_order_without_membership,Implemented,
Cucumber,src/test/resources/Feature/TC_03_AddMember.feature,Place lab orders and pay online,Place a lab visit for a family member with a new user and complete online payment in most popular packages(New User),@add_member_multi_lab_order_new_user,Implemented,
Cucumber,src/test/resources/Feature/TC_03_AddMember.feature,Place lab orders and pay online,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Member),@add_member_multi_lab_order_membership,Implemented,
Cucumber,src/test/resources/Feature/TC_03_AddMember.feature,Place lab orders and pay online,Place a lab visit for a family member with the profile owner and complete online payment in most popular packages(Without Member),@add_member_multi_lab_order_without_membership,Implemented,
Cucumber,src/test/resources/Feature/TC_04_EndToEndScenarios_Member.feature,Place lab orders and pay online for multiple scenarios of members and tests,Complete online paymentWithMembership,@payment,Implemented,
Cucumber,src/test/resources/Feature/TC_04_EndToEndScenarios_Member.feature,Place lab orders and pay online for multiple scenarios of members and tests,Extract total amount for multi member scenario,@multi_member_totalWithMembership,Implemented,
Cucumber,src/test/resources/Feature/TC_04_EndToEndScenarios_Member.feature,Place lab orders and pay online for multiple scenarios of members and tests,Identify membership type,@membershipWithMembership,Implemented,
